# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000064 16 04 00   18.59455693 70.79642500
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000064 16 08 00   34.76923700 135.54847100
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000064 16 16 00   70.17846910 259.21220000
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000128 16 01 00   15.63114389 15.23695200
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000256 16 01 00   18.86079298 18.64516500
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000256 16 02 00   17.77125405 33.80611300
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000256 16 04 00   19.18610001 72.80855100
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000256 16 08 00   51.17532890 177.44309000
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000256 16 16 00   102.54717296 331.90474200
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000008 01 01 00   17.58568694 17.43309000
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000008 04 02 00   19.00573206 37.58234900
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000008 04 04 00   24.20876397 95.24595300
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000016 02 02 00   22.51672098 44.39077400
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000016 08 01 00   23.59167102 23.45346600
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000016 08 02 00   24.30866812 47.75898500
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000016 08 04 00   31.55463691 122.50365600
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000016 08 08 00   56.57028094 218.50565600
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000032 04 01 00   22.91696604 22.60141300
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000032 04 02 00   24.33020203 47.86299100
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000032 04 04 00   33.43377194 129.20007400
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000032 08 01 00   24.59790891 24.44152800
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000032 08 02 00   25.62925898 50.34714600
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000032 08 04 00   33.50023308 126.52790700
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000032 08 08 00   63.52916602 243.26320300
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000032 16 01 00   29.41290898 28.72179500
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000032 16 02 00   31.31017804 61.19982500
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000032 16 08 00   63.95223798 243.51121800
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000032 16 16 00   103.24674611 398.50490500
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000064 08 01 00   27.29892599 27.11769500
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000064 08 02 00   29.47447796 56.54753400
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000064 16 01 00   31.84360904 31.14594700
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000064 16 02 00   34.75833396 65.82811400
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000064 16 04 00   41.91071493 159.02993900
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000128 08 02 00   29.56615508 56.70754400
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000001 01 01 00   23.53669098 23.41346400
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000008 01 01 00   34.45200012 34.25814100
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000008 04 02 00   41.09472101 81.22507600
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000008 04 04 00   45.45660402 176.65904100
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000016 02 01 00   36.17146491 35.92224500
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000016 08 01 00   41.52916998 41.29858100
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000016 08 02 00   54.47936811 107.50271800
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000016 08 04 00   68.44213400 245.36333400
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000016 08 08 00   141.01169995 543.98999800
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000016 16 08 00   141.19438810 551.19844800
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000016 16 16 00   186.99395210 710.08037700
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000032 04 01 00   40.87609999 40.42652700
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000032 04 02 00   53.45035689 105.23057600
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000032 04 04 00   64.65682997 246.54340800
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000032 08 01 00   41.28432396 41.01056300
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000032 16 08 00   112.15501788 424.07050200
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000032 16 16 00   198.79291889 750.89092800
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000064 04 02 00   73.47126396 129.13207000
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000064 08 01 00   45.73746897 45.13882100
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000064 08 02 00   78.97795899 137.52459400
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000128 16 02 00   82.91919693 146.79317400
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000128 16 04 00   76.21962910 283.96974700
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000128 16 08 00   141.64971810 500.01524900
Bench_McLachlan_Carpet_1lev 000010 0050 ranger   000128 16 16 00   273.04204502 919.98949500
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000001 01 01 00   81.19326989 80.92105700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000002 01 01 00   75.57881102 75.28470500
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000002 02 01 00   75.20966599 74.80067400
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000002 02 02 00   74.06561209 147.16519800
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000004 02 01 00   101.05507897 100.72229500
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000004 02 02 00   91.39501411 180.27526700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000004 04 01 00   111.78165302 111.35495900
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000004 04 02 00   92.23816592 181.52734500
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000004 04 04 00   91.76669805 361.86661600
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000008 04 01 00   102.41108694 101.18232300
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000008 08 01 00   106.30212907 105.87861700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 01 01 00   92.95425905 92.62978900
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 04 01   135.03241900 509.92386800
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 04 02   134.63654396 507.75973300
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 08 00   214.46684505 830.65991300
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 16 00   383.01305094 1440.98605600
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000032 02 01 00   116.66420694 116.33527100
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000032 02 02 00   115.91846810 228.44627700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000032 04 01 00   125.90435288 125.18382400
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000032 16 01 00   144.28089501 143.29295600
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000032 16 02 00   138.58835712 272.03300100
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000032 16 04 01   142.03716589 521.67660300
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000032 16 04 02   141.97502211 522.84467600
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000064 04 01 00   127.02499107 125.97587300
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000064 04 02 00   146.02900100 250.80767500
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000064 08 01 00   131.11489794 130.02012600
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000064 08 02 00   152.64683812 262.48840500
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000064 08 04 00   143.73815708 518.71641800
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000064 08 08 00   252.76035698 935.43046000
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000064 16 04 02   156.96743405 566.66341400
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000128 16 01 00   143.96603698 143.42896400
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000128 16 02 00   164.60896189 285.78186100
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000128 16 04 00   162.46507194 548.27026500
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000128 16 08 00   286.11177489 976.72104100
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000128 16 16 00   646.18016498 2313.48458400
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000256 16 04 01   184.37672901 592.78104600
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000512 16 04 00   193.47074391 596.88530300
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000512 16 04 01   194.24912996 599.32145500
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000512 16 04 02   192.97821503 599.02143700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   001024 16 04 00   195.93050412 596.65328800
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   001024 16 04 01   196.74863610 600.95755800
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   002048 16 04 00   199.97020907 596.94530700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   004096 16 04 00   204.06178805 620.13075600
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   004096 16 04 01   203.55896895 679.53046800
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   004096 16 04 02   203.89659098 614.04237500
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   008192 16 04 00   209.53715903 624.27101500
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   008192 16 04 01   210.51032997 614.40239700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   008192 16 04 02   213.06955295 707.53221800
Bench_McLachlan_Carpet_1lev 000010 0080 ranger   000001 01 01 00   128.50195608 127.97999800
Bench_McLachlan_Carpet_1lev 000010 0080 ranger   000002 01 01 00   170.33055712 169.24257700
