# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000064 16 01 10   6.34602501 6.24839000
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000064 16 16 10   25.87960011 97.89411800
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000128 16 01 10   6.56099601 6.25239000
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000128 16 16 10   28.52337394 108.80279900
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000256 16 01 10   8.51779592 8.44052800
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000256 16 16 10   30.78867498 113.03906400
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000512 16 01 10   8.99916505 8.90455600
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   000512 16 16 10   33.21300611 120.99156200
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   001024 16 01 10   7.99448098 7.91649500
Bench_McLachlan_Carpet_1lev 000010 0025 ranger   001024 16 16 10   35.77518304 117.03931500
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000016 16 01 10   9.16154402 9.04056500
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000016 16 16 10   47.81426594 188.77179700
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000032 16 01 10   10.05423809 9.42058800
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000032 16 16 10   55.11736892 214.66141500
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000064 16 01 10   9.64985093 9.51659500
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000064 16 16 10   40.80243108 157.73785800
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000128 16 01 10   10.29281101 9.69660600
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000128 16 16 10   41.92645094 162.09413100
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000256 16 01 10   14.73097704 14.03287700
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000256 16 16 10   43.04874409 153.93762100
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000512 16 01 10   14.41818390 14.29689400
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   000512 16 16 10   48.26876094 164.25426600
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   001024 16 01 10   16.07625503 15.32495800
Bench_McLachlan_Carpet_1lev 000010 0030 ranger   001024 16 16 10   53.11100893 174.79892400
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000016 16 01 10   22.00438197 21.79336200
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000016 16 16 10   82.47099999 323.92024400
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000032 16 01 10   22.46158596 21.74135900
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000032 16 16 10   89.11722904 346.45765200
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000064 16 01 10   23.82911612 23.60947600
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000064 16 16 10   92.11495399 351.72198100
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000128 16 01 10   24.51478000 23.85349100
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000128 16 16 10   104.67569394 374.39939900
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000256 16 01 10   24.26738393 23.38946200
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000256 16 16 10   108.02386809 382.44790200
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000512 16 01 10   29.43783911 28.64579000
Bench_McLachlan_Carpet_1lev 000010 0040 ranger   000512 16 16 10   108.61595389 380.72779400
